Dataset,Criterion,MaxDepth,Trial,Accuracy,NodeCount,ActualDepth,TrainingTime(ms)
Iris,IG,5,4,1,15,5,0.807
Iris,IG,5,5,0.966667,15,5,11.264
Iris,IG,5,6,0.933333,17,5,4.636
Iris,IG,5,7,0.933333,15,5,13.635
Iris,IG,5,8,0.933333,17,5,8.469
Iris,IG,5,9,0.866667,17,5,7.836
Iris,IG,5,10,0.966667,19,5,8.269
Iris,IG,5,11,0.933333,15,5,9.756
Iris,IG,5,12,0.966667,15,5,6.829
Iris,IG,5,13,0.866667,17,5,8.116
Iris,IG,5,14,0.9,17,5,8.222
Iris,IG,5,15,0.9,15,5,0
Iris,IG,5,16,0.9,19,5,0
Iris,IG,5,17,0.866667,15,5,15.772
Iris,IG,5,18,0.966667,15,5,0
Iris,IG,5,19,0.833333,17,5,0
Iris,IG,5,20,1,17,5,16.034
Adult,IG,7,1,0.743333,862,7,263.05
Adult,IG,7,2,0.763333,912,7,293.799
Adult,IG,7,3,0.776667,898,7,297.03
Adult,IG,7,4,0.78,907,7,295.374
Adult,IG,7,5,0.778333,923,7,273.016
Adult,IG,7,6,0.781667,901,7,267.208
Adult,IG,7,7,0.778333,867,7,312.078
Adult,IG,7,8,0.776667,902,7,269.549
Adult,IG,7,9,0.79,902,7,267.013
Adult,IG,7,10,0.773333,878,7,293.431
Adult,IG,7,11,0.771667,876,7,277.308
Adult,IG,7,12,0.8,866,7,300.598
Adult,IG,7,13,0.783333,895,7,285.098
Adult,IG,7,14,0.768333,921,7,279.085
Adult,IG,7,15,0.798333,876,7,323.638
Adult,IG,7,16,0.75,865,7,279.969
Adult,IG,7,17,0.795,918,7,277.999
Adult,IG,7,18,0.788333,893,7,326.123
Adult,IG,7,19,0.773333,878,7,272.187
Adult,IG,7,20,0.778333,841,7,294.474
Iris,IG,7,1,0.866667,21,5,6.949
Iris,IG,7,2,0.9,15,5,6.022
Iris,IG,7,3,1,15,5,5.517
Iris,IG,7,4,0.933333,23,5,9.383
Iris,IG,7,5,0.9,17,5,4.839
Iris,IG,7,6,0.866667,19,5,8.116
Iris,IG,7,7,0.933333,19,5,8.315
Iris,IG,7,8,0.9,15,5,7.806
Iris,IG,7,9,0.966667,15,5,0
Iris,IG,7,10,0.9,15,5,12.591
Iris,IG,7,11,0.9,17,5,6.01
Iris,IG,7,12,0.9,17,5,6.008
Iris,IG,7,13,0.8,25,5,8.31
Iris,IG,7,14,0.966667,15,5,8.102
Iris,IG,7,15,0.933333,17,5,8.42
Iris,IG,7,16,0.866667,21,5,1.165
Iris,IG,7,17,0.8,15,5,11.283
Iris,IG,7,18,0.9,15,5,4.434
Iris,IG,7,19,0.866667,15,5,5.362
Iris,IG,7,20,0.933333,15,5,10.471
Adult,IG,10,1,0.76,1133,10,347.703
Adult,IG,10,2,0.768333,1131,10,298.056
Adult,IG,10,3,0.763333,1073,10,287.739
Adult,IG,10,4,0.788333,1092,10,356.667
Adult,IG,10,5,0.77,1073,10,296.057
Adult,IG,10,6,0.78,1082,10,298.147
Adult,IG,10,7,0.791667,1124,10,337.017
Adult,IG,10,8,0.773333,1104,10,309.696
Adult,IG,10,9,0.76,1046,10,331.023
Adult,IG,10,10,0.77,1111,10,313.754
Adult,IG,10,11,0.756667,1099,10,271.205
Adult,IG,10,12,0.806667,1149,10,335.206
Adult,IG,10,13,0.788333,1101,10,348.071
Adult,IG,10,14,0.75,1052,10,269.475
Adult,IG,10,15,0.77,1088,10,331.962
Adult,IG,10,16,0.768333,1135,10,331.944
Adult,IG,10,17,0.763333,1119,10,299.573
Adult,IG,10,18,0.746667,1062,10,336.907
Adult,IG,10,19,0.775,1148,10,346.989
Adult,IG,10,20,0.763333,1120,10,267.508
Iris,IG,10,1,0.966667,15,5,0
Iris,IG,10,2,0.966667,15,5,15.504
Iris,IG,10,3,0.866667,19,5,12.105
Iris,IG,10,4,0.966667,19,5,12.687
Iris,IG,10,5,0.833333,19,5,14.317
Iris,IG,10,6,0.933333,15,5,13.409
Iris,IG,10,7,0.9,17,5,10.737
Iris,IG,10,8,0.866667,19,5,9.799
Iris,IG,10,9,0.866667,15,5,8.426
Iris,IG,10,10,0.966667,19,5,16.808
Iris,IG,10,11,0.933333,15,5,8.439
Iris,IG,10,12,0.966667,15,5,8.213
Iris,IG,10,13,1,15,5,0
Iris,IG,10,14,0.9,15,5,0
Iris,IG,10,15,0.966667,17,5,18.149
Iris,IG,10,16,1,15,5,8.013
Iris,IG,10,17,0.933333,15,5,6.677
Iris,IG,10,18,0.933333,15,5,15.709
Iris,IG,10,19,1,15,5,0
Iris,IG,10,20,0.9,15,5,0
Adult,IG,12,1,0.798333,1245,12,349.341
Adult,IG,12,2,0.768333,1168,12,352.178
Adult,IG,12,3,0.78,1195,12,343.726
Adult,IG,12,4,0.81,1212,12,349.646
Adult,IG,12,5,0.786667,1240,12,288.079
Adult,IG,12,6,0.801667,1246,12,311.391
Adult,IG,12,7,0.766667,1218,12,323.81
Adult,IG,12,8,0.796667,1282,12,324.547
